Unnamed: 0,packet_count,total_bytes,avg_packet_size,avg_inter_packet_delay,std_inter_packet_delay,chunk_count,avg_ssim,avg_format,avg_chunk_size
1183,3138,4518302.0,1439.8667941363926,2.3197322282435446,12.229141402818696,17,0.9771120588235294,1280x720-20,224625.8823529412
1184,2981,4309622.0,1445.6967460583696,2.410738255033557,14.22974548268378,16,0.982166,1280x720-20,236766.125
1185,2774,4004503.0,1443.5843547224224,2.7320591417237647,16.404087692377818,15,0.9843334,1280x720-20,221417.0
1186,2328,3348219.0,1438.2384020618556,3.3403523850451227,19.90571286778839,14,0.984488642857143,1280x720-20,189934.14285714287
1187,1944,2783387.0,1431.7834362139918,4.246525990735975,24.34960365536067,14,0.9855901428571427,1280x720-20,155365.85714285713
1188,1513,2149488.0,1420.6794448116325,5.613756613756614,29.170503532919067,13,0.9858643076923076,1280x720-20,122763.84615384616
1189,1098,1544329.0,1406.4927140255008,8.248860528714676,37.036716625173966,13,0.9871773076923076,1280x720-20,81829.92307692308
1190,773,1072907.0,1387.9780077619664,11.853626943005182,45.21125513046754,11,0.9967899090909088,1280x720-20,68683.90909090909
1191,504,681971.0,1353.1170634920634,18.92047713717694,58.53511323371019,8,0.9989315,1280x720-20,70106.875
1192,456,611255.0,1340.47149122807,20.767032967032968,61.74718582357241,5,0.9986442,1280x720-20,84030.4
1193,471,635292.0,1348.8152866242035,20.43404255319149,61.53852720423421,5,0.9982400000000002,1280x720-20,92260.6
1194,542,737749.0,1361.160516605166,17.4362292051756,55.68692273747622,5,0.9982400000000002,1280x720-20,92260.6
1195,460,620910.0,1349.804347826087,20.94117647058824,62.09556574257479,5,0.9937488,1280x720-20,155670.8
1196,709,987844.0,1393.2919605077575,13.05367231638418,48.21787242275804,5,0.9937488,1280x720-20,155670.8
1197,751,1050172.0,1398.3648468708388,12.566666666666666,47.61182159459513,5,0.9898968,1280x720-20,285566.0
1198,1171,1669107.0,1425.3689154568744,7.686324786324786,36.34473922590156,5,0.9898968,1280x720-20,285566.0
1199,1288,1841166.0,1429.476708074534,6.933954933954934,34.33245507928445,5,0.9867168,1280x720-20,406511.0
1200,1992,2816033.0,1413.6711847389558,4.094927172275239,19.783015037148413,10,0.9603855,1920x1080-22,351088.9
1201,3422,4892995.0,1429.864114552893,2.0280619701841567,9.01658652262502,7,0.9638912857142856,1280x720-20,253404.4285714285
1202,3688,5331071.0,1445.5181670281995,1.7827502034174123,7.607844703604113,8,0.965559875,1280x720-20,277305.125
1203,4113,5969883.0,1451.4668125455871,1.5192120622568093,5.952603047133384,9,0.966895111111111,1280x720-20,292938.3333333333
1204,4404,6419689.0,1457.6950499545867,1.3452191687485806,4.778568697535976,9,0.966895111111111,1280x720-20,292938.3333333333
1205,2859,4068879.0,1423.1825813221403,2.6193142057382786,12.3311523246714,11,0.9711870909090908,1920x1080-22,351741.63636363635
1206,3005,4297778.0,1430.2089850249583,2.4420772303595206,11.685072496723729,12,0.9720183333333332,1920x1080-22,357937.5
1207,3273,4700217.0,1436.057745187901,2.11460880195599,10.33577506724131,14,0.9739799285714286,1920x1080-22,375743.6428571429
1208,3396,4846704.0,1427.1802120141342,2.0179675994108983,8.968311156534599,10,0.9622402,1920x1080-22,349035.4
1209,3453,4968960.0,1439.026933101651,1.9154113557358048,8.088432510313226,14,0.9709222142857142,1280x720-20,274347.71428571426
1210,3555,5128198.0,1442.5310829817158,1.829206527855937,7.731847482528392,17,0.9759495294117648,1280x720-20,234210.0588235294
1211,3403,4939341.0,1451.4666470761092,1.968253968253968,10.92888362032138,16,0.9809308125,1280x720-20,246949.3125
1212,3108,4504921.0,1449.459781209781,2.23109108464757,13.763416389300064,15,0.9830322,1280x720-20,228550.0
1213,2756,3985212.0,1446.0130624092888,2.6994555353902,16.41471551279492,14,0.9833379285714284,1280x720-20,212219.2857142857
1214,2312,3331019.0,1440.7521626297578,3.331890956295976,19.97974352418736,14,0.9846902857142856,1280x720-20,189594.9285714285
1215,1868,2677975.0,1433.605460385439,4.434922335297268,24.979872380318085,14,0.9858962142857144,1280x720-20,154378.7857142857
1216,1454,2068469.0,1422.6059147180192,5.871988988300068,29.855884517079616,13,0.9862206923076924,1280x720-20,118766.76923076923
1217,1032,1453187.0,1408.1269379844962,8.826382153249272,38.26075630133539,11,0.9934519090909092,1280x720-20,75001.36363636363
1218,775,1073873.0,1385.6425806451614,11.881136950904391,45.24839661383995,11,0.9967899090909088,1280x720-20,68683.90909090909
1219,507,683243.0,1347.61932938856,18.974308300395258,58.67544324785139,7,0.9991685714285714,1280x720-20,57858.42857142857
1220,456,611263.0,1340.4890350877192,20.70769230769231,61.816497728178135,5,0.9986442,1280x720-20,84030.4
1221,472,635365.0,1346.1122881355932,20.43312101910828,61.53747832381962,5,0.9986442,1280x720-20,84030.4
1222,542,737758.0,1361.1771217712178,17.31977818853974,55.65024256836198,5,0.9982400000000002,1280x720-20,92260.6
1223,461,620983.0,1347.0347071583517,20.782608695652176,62.14622064953583,5,0.9982400000000002,1280x720-20,92260.6
1224,709,987855.0,1393.3074753173485,13.002824858757062,48.356520753304885,5,0.9937488,1280x720-20,155670.8
1225,737,1027989.0,1394.8290366350068,12.744565217391305,48.153992936001984,4,0.99245875,1280x720-20,173047.0
1226,2847,4041468.0,1419.5532139093782,2.591004919184821,14.88196626092338,7,0.9578104285714286,1280x720-22,159966.57142857142
1227,2822,4042006.0,1432.3196314670447,2.60900389932648,15.41545341321864,8,0.95913475,1280x720-22,141767.75
1228,3092,4455151.0,1440.8638421733506,2.326431575541896,14.244407605210666,9,0.9617366666666668,1280x720-22,129396.44444444444
1229,3239,4705319.0,1452.7073170731708,2.1522544780728845,13.7894466291869,10,0.9637761,1280x720-22,119482.3
1230,3422,4889602.0,1428.8725891291642,2.019000292312189,8.754332705738973,11,0.9645962727272728,1920x1080-22,394249.5454545455
1231,3636,5229803.0,1438.339658965897,1.8118294360385143,7.347969267869487,12,0.9657110833333332,1920x1080-22,394227.0
1232,4001,5775668.0,1443.5561109722569,1.5715,5.966396546492698,13,0.9669372307692308,1920x1080-22,405261.9230769231
1233,4257,6168784.0,1449.0918487197555,1.419407894736842,5.012774023313824,13,0.9735103846153844,1920x1080-22,446839.2307692308
1234,3359,4830681.0,1438.130693658827,2.0866587254318048,9.27249100465872,9,0.971156111111111,1920x1080-22,479169.0
1235,3603,5220825.0,1449.021648626145,1.8609106052193225,8.02811751269699,10,0.972193,1920x1080-22,537718.4
1236,3880,5638599.0,1453.2471649484537,1.6246455271977314,6.626862686921091,10,0.972193,1920x1080-22,537718.4
1237,1420,1973491.0,1389.7823943661972,6.150105708245243,33.50805891604965,13,0.9706647692307692,1920x1080-22,289962.0
1238,2994,4264483.0,1424.3430193720774,2.465419311727364,12.048025499749771,1,0.896249,426x240-26,30382.0
1239,3114,4466361.0,1434.2842003853564,2.29007388371346,11.065396575624636,1,0.896249,426x240-26,30382.0
1240,2960,4230596.0,1429.255405405405,2.4518418384589387,11.321992993000483,8,0.95514525,1280x720-22,277015.125
1241,3049,4374666.0,1434.7871433256803,2.3356299212598426,11.047880323508636,9,0.9540807777777778,1280x720-22,259986.22222222225
1242,1974,2788222.0,1412.4731509625126,4.031931069437405,18.5799595063414,13,0.9695828461538464,1920x1080-22,327875.3076923077
1243,3278,4653643.0,1419.6592434411227,2.1495270064083,9.218480790713729,11,0.9680203636363636,1920x1080-22,390045.8181818182
1244,3167,4530544.0,1430.547521313546,2.1904611497157296,9.323486532083155,14,0.974752,1920x1080-22,312133.0714285714
1245,3152,4519535.0,1433.8626269035533,2.2208822596001268,11.418279536260034,17,0.9791034705882352,1280x720-20,265327.4117647059
1246,3024,4367818.0,1444.3842592592594,2.3979490572279194,14.321947598872894,17,0.9851634705882354,1280x720-20,264628.76470588235
1247,2774,3996049.0,1440.5367700072095,2.6455102776776056,15.900412854981903,15,0.9866066666666666,1280x720-20,263816.3333333333
1248,2313,3314977.0,1433.1936878512754,3.3546712802768166,20.078513382031744,15,0.9877309333333334,1280x720-20,224633.9333333333
1249,1926,2745219.0,1425.3473520249222,4.251948051948052,24.06304279746487,14,0.988034,1280x720-20,199956.2142857143
1250,1448,2038883.0,1408.0683701657458,5.939184519695923,30.079124499246028,14,0.9892399285714284,1280x720-20,164740.07142857142
1251,1114,1553922.0,1394.903052064632,8.138364779874214,36.45685325131928,13,0.9898216153846152,1280x720-20,129925.07692307692
1252,768,1056997.0,1376.2981770833333,12.022164276401565,45.87808547091164,12,0.9938931666666666,1280x720-20,75850.75
1253,584,795029.0,1361.3510273972602,16.37564322469983,54.39258749906601,10,0.9992484,1280x720-20,48436.8
1254,456,611263.0,1340.4890350877192,20.65054945054945,61.79461617010169,8,0.9989315,1280x720-20,70106.875
1255,485,654328.0,1349.1298969072166,19.65289256198347,60.14709390200184,5,0.9986442,1280x720-20,84030.4
1256,506,684334.0,1352.4387351778655,18.97227722772277,58.29823650817191,5,0.9982400000000002,1280x720-20,92260.6
1257,569,782673.0,1375.523725834798,16.661971830985916,55.0115400600079,5,0.9982400000000002,1280x720-20,92260.6
1258,710,987921.0,1391.4380281690142,13.067700987306065,48.13803539652661,5,0.9937488,1280x720-20,155670.8
1259,823,1155766.0,1404.332928311057,11.405109489051094,45.275744763807616,5,0.9937488,1280x720-20,155670.8
1260,1172,1669191.0,1424.2244027303757,7.6199829205807,35.55140722140861,5,0.9898968,1280x720-20,285566.0
1261,1181,1680665.0,1423.086367485182,7.748305084745763,36.36300325333207,5,0.9898968,1280x720-20,285566.0
1262,2912,4147296.0,1424.2087912087911,2.512538646513226,12.995431540634227,10,0.9701785,1920x1080-22,330830.6
1263,3123,4476543.0,1433.411143131604,2.2821909032671366,11.01057074369575,12,0.9732269166666668,1280x720-24,290957.9166666667
1264,3265,4694544.0,1437.838897396631,2.1197916666666665,10.369493599285205,15,0.9766087333333334,1280x720-22,261119.2
1265,4262,6200496.0,1454.8324730173626,1.3928655245247594,5.466424647829934,15,0.9735044,1920x1080-22,383025.4
1266,3065,4399800.0,1435.4975530179445,2.390013054830287,10.911837154125722,10,0.9716005,1920x1080-22,505158.0
1267,3233,4670070.0,1444.5004639653573,2.177289603960396,9.68912535162467,10,0.9716005,1920x1080-22,505158.0
1268,2827,4020473.0,1422.1694375663246,2.692144373673036,11.266666754687488,6,0.9619378333333332,1280x720-22,257816.16666666663
1269,2862,4111976.0,1436.7491264849757,2.6193638587906327,10.910241769909726,8,0.956157,1280x720-22,246227.0
1270,2961,4269121.0,1441.7835190813914,2.49695945945946,10.949083212193871,12,0.9623418333333332,1280x720-20,184324.0833333333
1271,2827,4099886.0,1450.260346657234,2.6475583864118897,12.987022867842915,15,0.9697966666666666,1280x720-20,154615.33333333334
1272,3235,4635211.0,1432.8318392581143,2.134817563388992,9.441634980316412,11,0.9725323636363636,1920x1080-22,319341.36363636365
1273,3143,4527913.0,1440.6341075405664,2.267982176957352,11.399470084490485,9,0.964621,1920x1080-22,381574.1111111111
1274,3354,4863374.0,1450.0220632081098,2.03489412466448,10.138305691126726,11,0.9658197272727272,1920x1080-22,365867.4545454545
1275,3781,5506110.0,1456.2576038085165,1.7246031746031747,8.423108675730386,13,0.9679724615384616,1920x1080-22,381246.3076923077
1276,3311,4718256.0,1425.0244639081848,2.1450151057401814,9.340170734532906,9,0.968919,1920x1080-22,412838.5555555556
1277,3538,5094516.0,1439.9423403052572,1.9140514560361888,8.056274220979413,10,0.9701796,1920x1080-22,478021.0
1278,3405,4889183.0,1435.8834067547723,2.045828437132785,8.965969917310131,6,0.957107,1920x1080-24,216146.16666666663
1279,3579,5156263.0,1440.6993573623918,1.87115707098938,7.845660512613683,7,0.9601455714285716,1920x1080-24,245408.4285714285
1280,3992,5777123.0,1447.1751002004007,1.5843147080932096,6.011043417899122,8,0.95386375,1920x1080-24,228851.75
1281,4245,6162669.0,1451.747703180212,1.4396795475966069,4.924059447551568,9,0.9555753333333332,1920x1080-24,232739.22222222225
1282,3590,5251772.0,1462.8891364902506,1.935358038450822,10.637403884411333,14,0.974213,1920x1080-22,401995.9285714286
1283,3928,5759337.0,1466.2263238289206,1.6923860453272217,9.330864778809987,12,0.981494,1920x1080-22,455671.1666666667
1284,3991,5848084.0,1465.3179654222,1.653634085213033,8.835779993678136,12,0.9820489166666668,1920x1080-22,443426.6666666667
1285,3366,4840819.0,1438.1518122400475,2.12332838038633,8.970213524505827,11,0.965026909090909,1920x1080-22,398637.8181818182
1286,3216,4637878.0,1442.1262437810944,2.2258164852255056,10.48082092328852,15,0.9742217333333332,1920x1080-22,299425.93333333335
1287,3415,4940010.0,1446.5622254758418,2.055360281195079,10.532546941793983,17,0.9771665294117646,1280x720-20,270886.9411764706
1288,2972,4246963.0,1428.9915881561235,2.5122854257825646,11.96854822487791,13,0.975015923076923,1920x1080-22,368263.8461538461
1289,2911,4191680.0,1439.945036070079,2.5762886597938146,12.346717413932067,14,0.9762739285714284,1920x1080-22,373212.28571428574
1290,3199,4624906.0,1445.734917161613,2.292057535959975,11.074047466317165,16,0.977975125,1920x1080-22,411815.5625
1291,3169,4557718.0,1438.2196276427894,2.346590909090909,10.202672258108755,9,0.9712538888888888,1920x1080-22,485650.4444444445
1292,3377,4882201.0,1445.721350310927,2.142476303317536,9.374995559210706,10,0.972281,1920x1080-22,543551.7
1293,2521,3606960.0,1430.765569218564,3.1186507936507937,11.981856711008286,12,0.9722315,1920x1080-22,369625.75
1294,3131,4479105.0,1430.5669115298626,2.413738019169329,11.62080882935,11,0.9646202727272728,1920x1080-22,386890.5454545455
1295,3276,4719622.0,1440.6660561660565,2.3029007633587786,11.198439401125786,12,0.9660087500000002,1920x1080-22,402767.5833333333
1296,3706,5422730.0,1463.2298974635726,2.008367071524966,10.031835164452364,14,0.9720770000000002,1920x1080-22,389493.6428571429
1297,4012,5878134.0,1465.1380857427716,1.8007978060334082,8.817406424657808,12,0.9794384166666666,1920x1080-22,450258.0
1298,2726,3877487.0,1422.4090242112986,3.005504587155963,12.782656217498364,10,0.9669564,1920x1080-22,407750.7
1299,2679,3835351.0,1431.635311683464,3.0283793876026888,12.600660318629142,11,0.9674335454545454,1920x1080-22,395332.9090909091
1300,2750,3943033.0,1433.830181818182,2.886867951982539,11.919790988867438,12,0.97005425,1920x1080-22,364738.1666666667
1301,2631,3791784.0,1441.1949828962372,3.047528517110266,14.337340687806655,15,0.9828626666666668,1280x720-20,298570.93333333335
1302,3051,4358204.0,1428.4509996722386,2.585573770491804,10.404698895067408,11,0.9720197272727272,1920x1080-22,317914.63636363635
1303,3169,4553718.0,1436.9573998106655,2.39709595959596,9.510999302290244,13,0.9746615384615384,1280x720-24,287200.1538461539
1304,3551,5128906.0,1444.355392847085,2.1008450704225354,8.105430234469727,16,0.9773834375,1920x1080-22,308366.875
1305,3840,5587084.0,1454.9697916666669,1.895806199531128,6.775496403849374,15,0.9827924,1920x1080-22,326899.2
1306,3023,4317119.0,1428.0909692358584,2.6244209133024485,12.131377643927166,7,0.9436052857142856,1280x720-20,189824.8571428572
1307,3123,4482727.0,1435.3912904258725,2.484625240230621,11.281923345169544,7,0.9436052857142856,1280x720-20,189824.8571428572
1308,3440,4889682.0,1421.4191860465116,2.211107880197732,8.822582244017353,9,0.9704977777777776,1920x1080-22,442990.77777777775
1309,3636,5222279.0,1436.2703520352036,2.0264099037138927,7.648061034840085,10,0.9716005,1920x1080-22,505158.0
1310,4111,5936029.0,1443.9379712965217,1.7175182481751825,5.76120591522286,10,0.9716005,1920x1080-22,505158.0
1311,2748,3927697.0,1429.292940320233,2.934473971605388,14.486379444569492,11,0.9693981818181818,854x480-24,268960.8181818182
